"","Player","Position","Points","Total.Rebounds","Assists","Steals","Blocks","Missed.Field.Goals","Missed.Free.Throws","Turnovers","Games.Played","Efficiency.Index","Salary..."
"141","Eric Moreland","PF",8,11,1,0,4,3,2,3,8,0.13926444842816,845059
"142","Erick Green","PG",13,5,2,1,0,7,0,0,6,0.339443265258303,99418
"143","Ersan Ilyasova","PF",178,121,12,14,6,89,13,12,22,0.89390852777638,7900000
"144","Evan Fournier","SF",1213,225,213,96,2,500,39,133,79,1.01861419862691,2288205
"145","Evan Turner","SG",854,397,359,80,28,410,31,169,81,2.43984660701387,3425510
"146","Festus Ezeli","C",320,257,32,18,50,103,62,38,46,1.07259532664609,2008748
"147","Frank Kaminsky","C",606,335,98,38,43,310,40,58,81,0.998542347736705,2612500
"148","Garrett Temple","SF",582,212,140,69,18,304,34,64,80,0.954275475919814,1100602
"149","Gary Harris","SG",932,220,147,97,18,406,24,98,76,1.78029163385417,1587480
"150","Gary Neal","SG",390,83,47,20,1,174,8,29,40,0.778087940491825,2100000
"151","George Hill","PG",894,298,259,83,17,413,36,101,74,1.65131665848027,8e+06
"152","Gerald Green","SG",616,163,56,38,19,357,20,46,69,0.924831564022737,1356000
"153","Gerald Henderson","SG",624,211,75,39,19,297,34,68,72,0.944185047545673,6e+06
"154","Giannis Antetokounmpo","PG",1350,612,345,94,113,500,113,208,80,3.34959618364448,1953960
"155","Glenn Robinson","SF",171,68,26,17,9,86,12,18,45,0.414645712922646,845000
"156","Goran Dragic","PG",1018,277,419,71,17,458,45,185,72,1.31837705131287,14780000
"157","Gordon Hayward","SF",1578,397,296,95,27,681,84,202,80,0.989795176396652,15409570
"158","Gorgui Dieng","C",827,585,143,94,96,271,43,140,82,2.27122256547792,1474440
"159","Greg Monroe","C",1210,696,178,72,67,450,80,129,79,2.12069277856591,16400000
"160","Greg Smith","PF",43,42,6,4,1,14,10,7,18,0.0223245296266161,247623
"161","Greivis Vasquez","PG",130,47,91,10,0,93,4,40,23,0.375157205216287,6600000
"162","Harrison Barnes","SF",774,325,117,41,10,338,32,57,66,1.19797296440564,3873398
"163","Hassan Whiteside","C",1040,865,30,44,269,269,115,137,73,2.87791382483995,981348
"164","Henry Sims","C",91,72,9,9,14,44,5,12,14,1.3424123166619,161622
"165","Hollis Thompson","SG",758,272,99,36,24,410,27,76,77,1.1999884087173,947276
"166","Ian Clark","SG",236,68,64,17,13,113,6,43,66,0.617463014202117,947276
"167","Ian Mahinmi","C",660,507,104,65,75,184,93,100,71,1.84805759441582,4e+06
"168","Iman Shumpert","SG",311,203,92,54,19,191,11,57,54,2.00421585303263,9e+06
"169","Isaiah Canaan","SG",846,174,137,56,12,462,30,91,77,0.766038928431987,947276
"170","Isaiah Thomas","PG",1823,243,509,91,9,791,70,220,82,0.865686436870141,6912869
"171","Ish Smith","PG",733,213,348,64,18,440,44,130,50,1.44401170624041,1100602
"172","J.J. Barea","PG",808,152,302,26,2,394,22,113,74,0.500985413931393,4e+06
"173","J.J. Hickson","C",69,45,7,5,2,21,25,9,15,0.12129123622458,366337
"174","J.J. O'Brien","SF",0,1,0,1,0,1,0,0,2,0.381183922061674,105888
"175","J.J. Redick","SG",1226,139,106,42,5,458,23,78,75,0.781651035169837,6867000
"176","J.R. Smith","SG",955,217,130,81,21,497,26,59,77,1.63892644600024,5e+06
"177","Jabari Parker","PF",1070,395,130,69,29,456,53,116,76,0.934216363618621,5152440
"178","Jae Crowder","SF",1038,373,135,126,35,453,43,83,73,2.06020610147672,6e+06
"179","Jahlil Okafor","C",928,373,65,22,61,384,61,124,53,0.612175386659469,4582680
"180","JaKarr Sampson","SF",240,129,30,11,16,116,35,51,47,-0.0895340954027403,845059
"181","Jamal Crawford","SG",1120,145,183,52,12,560,26,113,79,0.705603877175639,5675000
"182","Jameer Nelson","PG",299,115,190,25,5,194,5,66,39,1.10244993861567,4500000
"183","James Anderson","SG",179,86,41,21,14,111,7,42,51,0.793708001824953,1015421
"184","James Ennis","SF",16,7,2,4,2,9,4,2,10,0.144121234606974,845059
"185","James Harden","SG",2376,501,612,139,51,907,117,374,82,2.53923351314233,15756438
"186","James Johnson","PF",287,126,67,29,33,126,29,54,57,0.558999437323489,2500000
"187","James Jones","SF",178,50,14,11,10,84,5,13,48,0.365856446683038,1499000
"188","James Michael McAdoo","PF",117,58,17,10,8,39,23,16,41,0.0292504828830932,845059
"189","James Young","SG",29,26,9,6,1,25,3,5,29,0.306736335247692,1749840
"190","JaMychal Green","PF",578,373,67,46,33,265,34,83,78,0.784476910821964,845059
"191","Jared Cunningham","SG",16,9,1,2,0,10,1,3,4,0.376017873636489,57726
"192","Jared Dudley","PF",638,286,170,75,18,254,26,80,81,1.43394184098305,4250000
"193","Jared Sullinger","PF",834,673,187,75,47,455,58,102,81,1.71469752805498,2269260
"194","Jarell Eddie","SF",63,23,5,5,1,45,0,1,26,0.28041652067905,561716
"195","Jarell Martin","PF",153,86,15,8,7,62,17,19,27,0.153469091211361,1230840
"196","Jarrett Jack","PG",411,136,236,34,7,218,12,94,32,1.59707835763467,6300000
"197","Jason Smith","C",546,219,62,33,65,259,13,57,76,0.973114271284096,4300000
"198","Jason Terry","SG",422,79,103,47,9,225,6,49,72,0.905838745531691,1499187
"199","Jason Thompson","C",87,80,10,8,12,34,4,8,19,1.17425665558542,328955
"200","JaVale McGee","C",172,133,3,5,26,57,18,21,34,0.59921067546816,1270964
"201","Jeff Ayres","C",30,22,5,0,3,11,0,6,17,0.16815276597068,317232
